user_id,days_active,total_days,avg_steps_last_7_days,meditation_streak,avg_meditation_minutes,avg_sleep_hours,challenge_completion_rate,total_points_earned,social_engagement_score,social_interactions_count,preferred_activity_time,response_rate_to_notifications,mood_correlation_with_exercise,user_type,fitness_level,primary_goal
user_0058,36,90,2660.0,5,1.42,6.38,0.333,350,0.12,12,night,0.715,0.3,struggling,beginner,wellness
user_0059,65,90,4040.43,13,8.22,6.91,0.875,750,0.34,34,afternoon,0.739,0.292,moderate,beginner,weight_loss
user_0060,37,90,3470.86,6,2.18,6.3,0.0,0,0.05,5,afternoon,0.556,0.467,struggling,advanced,muscle_gain
user_0061,79,90,9420.14,27,13.36,7.13,0.846,1650,1.0,114,night,0.568,0.622,highly_engaged,intermediate,wellness
user_0062,18,90,1840.86,2,0.27,5.95,1.0,100,0.01,1,morning,0.366,0.333,dropout,advanced,stress_reduction
user_0063,63,90,5863.71,10,8.3,6.82,0.8,550,0.2,20,afternoon,0.825,0.209,moderate,beginner,weight_loss
user_0064,78,90,11620.43,14,14.32,7.33,0.667,1400,1.0,101,evening,0.558,0.814,highly_engaged,beginner,muscle_gain
user_0065,76,90,6586.14,18,14.06,6.98,0.778,1500,1.0,126,night,0.466,0.376,highly_engaged,beginner,weight_loss
user_0066,78,90,9614.71,11,14.83,7.19,0.789,1650,1.0,138,morning,0.653,0.79,highly_engaged,intermediate,wellness
user_0067,10,90,1445.29,1,0.22,5.81,0.0,0,0.01,1,afternoon,0.483,0.326,dropout,intermediate,muscle_gain
user_0068,12,90,1187.14,2,0.43,5.73,0.0,0,0.05,5,night,0.584,0.45,dropout,beginner,wellness
user_0069,78,90,7699.43,26,13.18,7.4,0.722,1250,0.67,67,evening,0.631,0.734,highly_engaged,advanced,stress_reduction
user_0070,16,90,1454.71,1,0.52,6.01,0.0,0,0.03,3,morning,0.37,0.488,dropout,advanced,muscle_gain
user_0071,19,90,1720.29,2,0.86,6.13,0.0,0,0.03,3,night,0.598,0.227,dropout,advanced,weight_loss
user_0072,72,90,11249.14,13,10.7,7.07,0.882,1950,0.76,76,evening,0.525,0.544,highly_engaged,intermediate,muscle_gain
user_0073,18,90,1286.29,2,0.26,5.82,0.0,0,0.02,2,evening,0.543,0.457,dropout,advanced,muscle_gain
user_0074,37,90,2386.0,4,1.68,6.39,0.2,150,0.17,17,afternoon,0.664,0.504,struggling,advanced,muscle_gain
user_0075,54,90,5208.57,8,5.99,6.65,0.429,350,0.4,40,afternoon,0.652,0.347,moderate,intermediate,muscle_gain
user_0076,74,90,11155.29,13,13.04,7.17,0.818,1000,0.97,97,evening,0.626,0.631,highly_engaged,intermediate,weight_loss
user_0077,35,90,2577.57,3,1.71,6.16,0.5,200,0.25,25,morning,0.618,0.54,struggling,intermediate,wellness
user_0078,79,90,12386.0,20,14.58,7.18,0.889,1950,0.56,56,night,0.505,0.888,highly_engaged,advanced,muscle_gain
user_0079,74,90,10237.71,15,12.59,7.3,0.889,1900,1.0,118,evening,0.77,0.525,highly_engaged,advanced,stress_reduction
user_0080,18,90,1849.71,2,0.0,5.83,0.0,0,0.06,6,night,0.642,0.449,dropout,intermediate,stress_reduction
user_0081,58,90,6091.57,6,5.88,6.61,0.4,400,0.46,46,afternoon,0.779,0.463,moderate,intermediate,weight_loss
user_0082,27,90,2762.29,2,1.12,6.22,0.333,100,0.09,9,afternoon,0.658,0.389,struggling,advanced,muscle_gain
user_0083,55,90,5519.29,7,6.07,6.87,0.583,1000,0.46,46,night,0.877,0.375,moderate,advanced,weight_loss
user_0084,17,90,1712.43,2,0.59,5.76,0.0,0,0.03,3,afternoon,0.897,0.246,dropout,intermediate,stress_reduction
user_0085,79,90,11835.0,35,13.49,7.55,0.85,2100,1.0,112,morning,0.553,0.762,highly_engaged,beginner,stress_reduction
user_0086,19,90,1513.0,2,0.49,6.06,0.333,50,0.0,0,morning,0.87,0.428,dropout,intermediate,wellness
user_0087,23,90,1988.29,3,0.5,5.96,0.333,100,0.01,1,morning,0.338,0.529,dropout,advanced,wellness
user_0088,71,90,6410.0,16,12.42,7.22,0.818,1250,0.97,97,evening,0.521,0.219,highly_engaged,advanced,wellness
user_0089,74,90,9833.0,21,13.41,7.11,0.929,1700,1.0,147,evening,0.559,0.669,highly_engaged,intermediate,wellness
user_0090,16,90,2054.57,3,0.06,5.8,0.333,100,0.09,9,night,0.626,0.373,dropout,intermediate,muscle_gain
user_0091,76,90,10348.14,14,12.98,7.27,0.824,2050,1.0,110,evening,0.34,0.727,highly_engaged,advanced,weight_loss
user_0092,19,90,1887.71,3,0.84,6.08,0.0,0,0.07,7,morning,0.39,0.435,dropout,intermediate,stress_reduction
user_0093,12,90,1815.14,2,0.32,5.8,0.0,0,0.07,7,night,0.605,0.281,dropout,beginner,stress_reduction
user_0094,74,90,10107.86,12,13.39,6.82,0.75,1400,0.98,98,night,0.685,0.44,highly_engaged,intermediate,stress_reduction
user_0095,76,90,11470.29,12,12.86,7.19,0.75,2050,1.0,132,evening,0.749,0.842,highly_engaged,intermediate,weight_loss
user_0096,54,90,4847.86,7,7.32,6.66,0.636,1250,0.51,51,morning,0.822,0.34,moderate,beginner,weight_loss
user_0097,17,90,1624.71,2,0.0,5.86,0.5,50,0.1,10,night,0.629,0.445,dropout,advanced,wellness
user_0098,61,90,5662.0,11,6.18,6.98,0.667,1050,0.53,53,night,0.399,0.276,moderate,advanced,stress_reduction
user_0099,36,90,2526.0,7,1.36,6.28,0.2,100,0.21,21,evening,0.569,0.379,struggling,beginner,stress_reduction
user_0100,63,90,5704.29,8,7.61,7.0,0.455,500,0.55,55,afternoon,0.616,0.374,moderate,advanced,wellness
user_0101,58,90,5555.43,5,7.37,6.76,0.833,1200,0.23,23,night,0.356,0.529,moderate,beginner,muscle_gain
user_0102,64,90,4021.71,10,9.24,6.86,0.5,900,0.37,37,morning,0.678,0.584,moderate,advanced,stress_reduction
user_0103,38,90,3006.14,5,1.46,6.24,0.0,0,0.17,17,night,0.872,0.512,struggling,advanced,wellness
user_0104,74,90,10039.29,14,12.73,7.08,0.846,1250,0.58,58,evening,0.747,0.899,highly_engaged,intermediate,weight_loss
user_0105,54,90,4913.71,8,4.66,6.71,0.571,700,0.41,41,afternoon,0.709,0.265,moderate,advanced,stress_reduction
user_0106,19,90,2173.57,3,0.66,5.99,0.0,0,0.01,1,morning,0.838,0.209,dropout,advanced,stress_reduction
user_0107,16,90,1398.43,1,0.17,5.76,0.5,150,0.03,3,evening,0.54,0.208,dropout,advanced,stress_reduction
user_0108,58,90,4948.29,12,7.68,6.75,0.5,650,0.29,29,afternoon,0.708,0.208,moderate,advanced,wellness
user_0109,39,90,2023.14,4,1.01,6.39,0.2,50,0.23,23,afternoon,0.726,0.459,struggling,intermediate,stress_reduction
user_0110,23,90,1622.14,2,0.63,5.91,1.0,100,0.0,0,night,0.324,0.501,dropout,intermediate,weight_loss
user_0111,50,90,5566.57,5,5.78,6.6,0.5,500,0.2,20,night,0.692,0.541,moderate,beginner,wellness
user_0112,25,90,1822.43,4,0.24,6.17,0.333,100,0.03,3,night,0.318,0.417,dropout,advanced,muscle_gain
user_0113,18,90,1402.86,2,0.22,5.78,0.5,200,0.06,6,morning,0.773,0.518,dropout,beginner,wellness
user_0114,17,90,1566.86,1,0.0,6.03,0.0,0,0.04,4,morning,0.355,0.565,dropout,intermediate,wellness
user_0115,79,90,10699.43,16,13.17,7.2,0.9,2250,1.0,112,afternoon,0.872,0.528,highly_engaged,beginner,weight_loss
user_0116,57,90,4286.29,11,6.91,6.76,1.0,850,0.6,60,evening,0.379,0.584,moderate,advanced,wellness
user_0117,78,90,11316.14,22,13.88,7.18,0.7,750,0.99,99,afternoon,0.882,0.58,highly_engaged,intermediate,muscle_gain
user_0118,36,90,3076.43,8,2.19,6.24,0.5,250,0.2,20,night,0.645,0.315,struggling,beginner,stress_reduction
user_0119,37,90,2788.43,5,1.83,6.36,0.0,0,0.15,15,evening,0.573,0.498,struggling,intermediate,muscle_gain
user_0120,82,90,10925.0,18,14.77,7.34,0.786,1250,0.87,87,afternoon,0.82,0.674,highly_engaged,beginner,muscle_gain
user_0121,42,90,2084.86,4,2.24,6.51,0.0,0,0.16,16,evening,0.78,0.492,struggling,intermediate,stress_reduction
user_0122,13,90,1890.43,2,0.31,5.67,0.0,0,0.02,2,night,0.796,0.311,dropout,beginner,wellness
user_0123,76,90,9940.0,11,12.59,7.16,0.706,1450,0.96,96,evening,0.53,0.878,highly_engaged,intermediate,weight_loss
user_0124,53,90,4024.57,6,5.18,6.79,0.4,300,0.42,42,night,0.724,0.445,moderate,advanced,wellness
user_0125,15,90,1675.29,2,0.31,5.64,0.0,0,0.02,2,morning,0.323,0.236,dropout,intermediate,wellness
user_0126,43,90,2742.71,5,1.73,6.46,0.167,50,0.15,15,morning,0.566,0.24,struggling,beginner,weight_loss
user_0127,20,90,2126.0,2,0.0,5.96,0.0,0,0.04,4,night,0.441,0.292,dropout,beginner,wellness
user_0128,15,90,1658.43,2,0.49,5.73,0.0,0,0.09,9,night,0.513,0.403,dropout,advanced,stress_reduction
user_0129,62,90,4233.57,6,7.77,6.9,0.5,850,0.32,32,evening,0.475,0.272,moderate,beginner,stress_reduction
user_0130,80,90,10222.14,17,13.32,7.35,1.0,1250,0.57,57,evening,0.63,0.512,highly_engaged,beginner,wellness
user_0131,76,90,8903.29,21,13.37,7.12,0.833,900,0.63,63,afternoon,0.491,0.806,highly_engaged,advanced,weight_loss
user_0132,37,90,1432.0,5,1.48,6.52,0.0,0,0.12,12,afternoon,0.775,0.308,struggling,advanced,muscle_gain
user_0133,42,90,3340.86,5,3.21,6.4,0.2,100,0.16,16,night,0.677,0.373,struggling,intermediate,muscle_gain
user_0134,17,90,1866.57,2,0.39,5.95,0.0,0,0.0,0,night,0.615,0.259,dropout,advanced,muscle_gain
user_0135,77,90,10565.43,31,13.88,7.12,0.947,2300,0.99,99,night,0.693,0.416,highly_engaged,advanced,weight_loss
user_0136,77,90,8893.71,24,12.42,7.12,0.842,2350,1.0,116,afternoon,0.39,0.878,highly_engaged,beginner,muscle_gain
user_0137,59,90,3467.14,10,6.34,6.75,0.6,250,0.26,26,evening,0.666,0.414,moderate,beginner,stress_reduction
user_0138,76,90,8603.86,21,13.98,7.12,0.789,1950,0.98,98,evening,0.462,0.814,highly_engaged,intermediate,stress_reduction
user_0139,36,90,2359.0,5,1.87,6.18,0.333,350,0.19,19,evening,0.615,0.478,struggling,beginner,muscle_gain
user_0140,19,90,2053.57,3,0.52,5.95,0.5,150,0.1,10,night,0.595,0.265,dropout,intermediate,stress_reduction
user_0141,78,90,12459.71,27,12.36,7.37,0.818,900,0.91,91,afternoon,0.794,0.884,highly_engaged,beginner,muscle_gain
user_0142,19,90,1664.14,2,0.0,5.81,0.333,150,0.05,5,morning,0.797,0.5,dropout,intermediate,stress_reduction
user_0143,19,90,1624.57,3,0.81,5.89,0.333,150,0.02,2,evening,0.816,0.408,dropout,beginner,wellness
user_0144,54,90,5389.14,5,7.08,6.84,0.875,850,0.49,49,night,0.604,0.257,moderate,beginner,stress_reduction
user_0145,78,90,9177.14,13,14.79,7.15,0.789,2350,1.0,124,morning,0.658,0.898,highly_engaged,beginner,stress_reduction
user_0146,40,90,2654.43,6,1.39,6.29,0.167,50,0.06,6,morning,0.638,0.479,struggling,advanced,stress_reduction
user_0147,37,90,3117.29,3,1.81,6.26,1.0,250,0.19,19,afternoon,0.473,0.582,struggling,beginner,muscle_gain
user_0148,14,90,1712.43,3,0.79,5.71,0.0,0,0.0,0,afternoon,0.588,0.367,dropout,advanced,weight_loss
user_0149,79,90,10068.0,15,14.49,7.37,0.889,2700,0.79,79,afternoon,0.86,0.401,highly_engaged,advanced,weight_loss
user_0150,73,90,10897.0,9,14.39,7.16,0.842,2300,0.52,52,night,0.546,0.565,highly_engaged,beginner,wellness
user_0151,23,90,1615.29,4,0.4,5.96,0.0,0,0.03,3,morning,0.797,0.439,dropout,beginner,weight_loss
user_0152,16,90,1032.57,2,0.26,6.11,0.0,0,0.0,0,afternoon,0.486,0.469,dropout,advanced,stress_reduction
user_0153,74,90,12272.29,14,12.6,7.24,0.8,2350,0.93,93,afternoon,0.771,0.855,highly_engaged,beginner,weight_loss
user_0154,67,90,6794.29,16,7.91,6.92,0.583,850,0.33,33,night,0.788,0.331,moderate,beginner,wellness
user_0155,74,90,9369.86,14,13.63,7.2,0.929,1300,1.0,103,morning,0.729,0.642,highly_engaged,beginner,muscle_gain
user_0156,19,90,1980.14,2,0.78,6.05,0.0,0,0.08,8,night,0.711,0.547,dropout,beginner,weight_loss
user_0157,60,90,6249.43,7,7.06,6.74,0.778,700,0.57,57,night,0.733,0.204,moderate,intermediate,wellness
user_0158,19,90,1440.14,2,0.32,5.91,0.0,0,0.0,0,morning,0.588,0.315,dropout,advanced,stress_reduction
user_0159,82,90,12377.0,26,16.03,7.33,0.8,1650,0.53,53,morning,0.876,0.469,highly_engaged,intermediate,muscle_gain
user_0160,16,90,1974.71,1,0.21,5.88,0.667,250,0.05,5,afternoon,0.818,0.497,dropout,advanced,muscle_gain
user_0161,59,90,6646.71,7,8.31,6.95,0.5,650,0.22,22,morning,0.342,0.364,moderate,intermediate,weight_loss
user_0162,38,90,1579.0,5,1.59,6.54,0.167,50,0.16,16,night,0.678,0.221,struggling,beginner,weight_loss
user_0163,19,90,1338.43,3,0.31,5.84,1.0,250,0.0,0,afternoon,0.689,0.242,dropout,beginner,weight_loss
user_0164,59,90,4151.14,6,6.41,6.59,0.6,400,0.2,20,afternoon,0.495,0.424,moderate,intermediate,wellness
user_0165,33,90,2479.0,4,2.01,6.22,0.5,300,0.19,19,morning,0.754,0.313,struggling,beginner,muscle_gain
user_0166,79,90,7516.57,17,13.3,7.27,0.75,1900,1.0,129,afternoon,0.311,0.568,highly_engaged,beginner,wellness
user_0167,16,90,1708.0,2,0.64,5.93,0.333,50,0.05,5,afternoon,0.894,0.201,dropout,advanced,stress_reduction
user_0168,23,90,1488.14,2,0.71,6.07,0.0,0,0.01,1,night,0.823,0.261,dropout,intermediate,stress_reduction
user_0169,86,90,11401.0,36,14.88,7.64,0.688,1550,0.57,57,night,0.504,0.853,highly_engaged,beginner,wellness
user_0170,34,90,1985.71,6,1.06,6.28,0.0,0,0.13,13,night,0.756,0.257,struggling,advanced,weight_loss
user_0171,39,90,3208.57,4,2.31,6.45,0.333,150,0.09,9,morning,0.444,0.422,struggling,beginner,stress_reduction
user_0172,75,90,7482.43,13,12.52,7.15,0.846,1200,0.79,79,morning,0.599,0.742,highly_engaged,advanced,muscle_gain
user_0173,15,90,1313.43,2,0.88,5.7,0.0,0,0.09,9,evening,0.532,0.328,dropout,beginner,muscle_gain
user_0174,72,90,11519.43,18,14.16,6.96,0.789,2500,0.85,85,night,0.708,0.871,highly_engaged,beginner,weight_loss
user_0175,63,90,4023.43,11,6.58,6.84,0.545,1000,0.32,32,evening,0.521,0.282,moderate,beginner,weight_loss
user_0176,60,90,6665.0,10,7.51,6.86,0.667,1050,0.39,39,night,0.326,0.519,moderate,beginner,muscle_gain
user_0177,46,90,2952.0,6,3.82,6.6,0.167,100,0.16,16,evening,0.897,0.409,struggling,intermediate,muscle_gain
user_0178,78,90,8129.0,19,12.52,7.4,0.833,1250,0.53,53,afternoon,0.654,0.744,highly_engaged,beginner,wellness
user_0179,73,90,9898.86,17,11.84,7.22,0.7,1100,0.95,95,night,0.564,0.51,highly_engaged,advanced,stress_reduction
user_0180,38,90,3522.43,4,2.42,6.33,0.2,50,0.14,14,evening,0.493,0.467,struggling,intermediate,stress_reduction
user_0181,40,90,2561.29,8,3.58,6.36,0.0,0,0.06,6,afternoon,0.74,0.369,struggling,beginner,wellness
user_0182,40,90,3735.43,4,3.0,6.3,0.4,150,0.22,22,evening,0.662,0.482,struggling,beginner,weight_loss
user_0183,31,90,3025.14,4,2.0,6.35,0.333,150,0.11,11,evening,0.603,0.397,struggling,advanced,muscle_gain
user_0184,14,90,1884.0,2,0.41,5.77,0.0,0,0.1,10,morning,0.411,0.245,dropout,advanced,muscle_gain
user_0185,36,90,1783.57,4,0.67,6.21,0.25,150,0.14,14,morning,0.533,0.436,struggling,intermediate,wellness
user_0186,32,90,2530.0,3,2.21,6.16,0.25,150,0.18,18,morning,0.56,0.384,struggling,intermediate,wellness
user_0187,18,90,1865.71,3,0.23,6.08,0.0,0,0.07,7,morning,0.897,0.356,dropout,beginner,wellness
user_0188,77,90,9326.0,20,12.09,7.26,0.812,1900,0.68,68,morning,0.628,0.462,highly_engaged,intermediate,stress_reduction
user_0189,36,90,2985.29,5,1.79,6.22,0.2,50,0.06,6,afternoon,0.41,0.573,struggling,beginner,wellness
user_0190,72,90,7553.14,9,13.13,6.92,0.929,1900,1.0,127,afternoon,0.31,0.782,highly_engaged,beginner,wellness
user_0191,57,90,4653.14,10,5.84,6.77,0.727,1050,0.25,25,night,0.642,0.43,moderate,advanced,muscle_gain
user_0192,78,90,10358.43,17,12.72,7.2,0.824,2000,0.52,52,morning,0.765,0.456,highly_engaged,intermediate,wellness
user_0193,56,90,6706.29,8,7.53,6.83,0.778,900,0.57,57,afternoon,0.893,0.469,moderate,advanced,stress_reduction
user_0194,51,90,5485.86,6,6.11,6.5,0.667,800,0.44,44,night,0.757,0.331,moderate,advanced,stress_reduction
user_0195,32,90,3060.29,4,1.09,6.21,0.5,250,0.15,15,afternoon,0.812,0.445,struggling,advanced,weight_loss
user_0196,77,90,9635.71,19,14.14,7.36,0.846,1850,1.0,126,morning,0.446,0.56,highly_engaged,beginner,stress_reduction
user_0197,22,90,1609.29,3,0.31,6.0,0.0,0,0.0,0,morning,0.539,0.537,dropout,intermediate,weight_loss
user_0198,73,90,8926.57,13,12.53,7.11,0.842,1850,1.0,116,morning,0.543,0.718,highly_engaged,beginner,wellness
user_0199,64,90,4226.0,18,6.56,6.81,0.583,1150,0.45,45,night,0.573,0.29,moderate,advanced,stress_reduction
user_0200,21,90,1592.86,3,0.47,6.1,0.0,0,0.01,1,afternoon,0.717,0.277,dropout,intermediate,wellness
user_0201,64,90,7652.71,7,7.07,6.82,0.545,600,0.42,42,morning,0.884,0.719,moderate,intermediate,wellness
user_0202,16,90,1989.43,2,0.67,5.93,1.0,200,0.08,8,evening,0.314,0.377,dropout,intermediate,stress_reduction
user_0203,74,90,10471.29,16,14.1,7.09,0.8,1450,0.88,88,morning,0.305,0.467,highly_engaged,advanced,stress_reduction
user_0204,37,90,2920.29,4,2.79,6.2,0.2,50,0.25,25,afternoon,0.504,0.265,struggling,intermediate,stress_reduction
user_0205,75,90,8519.29,15,12.91,7.2,0.684,1950,0.87,87,afternoon,0.459,0.87,highly_engaged,beginner,weight_loss
user_0206,40,90,2893.0,7,3.16,6.36,0.2,50,0.23,23,afternoon,0.893,0.583,struggling,advanced,muscle_gain
user_0207,38,90,3889.29,4,2.47,6.46,0.0,0,0.21,21,morning,0.33,0.234,struggling,advanced,muscle_gain
user_0208,78,90,9219.43,35,13.51,7.22,0.769,1550,1.0,133,evening,0.769,0.546,highly_engaged,advanced,stress_reduction
user_0209,62,90,4143.57,8,7.76,6.93,0.875,950,0.21,21,afternoon,0.842,0.398,moderate,intermediate,muscle_gain
user_0210,78,90,11482.29,15,13.07,7.27,0.75,1500,0.59,59,evening,0.457,0.87,highly_engaged,beginner,wellness
user_0211,19,90,1838.29,3,0.81,5.86,0.0,0,0.07,7,afternoon,0.47,0.474,dropout,intermediate,muscle_gain
user_0212,52,90,4676.43,7,6.61,6.77,0.714,1150,0.37,37,afternoon,0.587,0.263,moderate,beginner,stress_reduction
user_0213,60,90,4279.29,9,8.29,6.78,0.6,450,0.22,22,afternoon,0.594,0.387,moderate,beginner,stress_reduction
user_0214,69,90,9934.86,9,11.89,7.05,0.917,1300,1.0,143,morning,0.822,0.617,highly_engaged,advanced,stress_reduction
user_0215,63,90,6513.29,9,7.29,6.8,0.8,400,0.46,46,evening,0.824,0.545,moderate,intermediate,muscle_gain
user_0216,56,90,4648.43,10,6.6,6.8,0.571,500,0.26,26,morning,0.844,0.322,moderate,advanced,muscle_gain
user_0217,45,90,2393.86,5,2.9,6.47,0.4,300,0.09,9,morning,0.84,0.596,struggling,advanced,stress_reduction
user_0218,51,90,2492.0,7,6.52,6.59,0.667,950,0.54,54,afternoon,0.89,0.239,moderate,beginner,weight_loss
